ID,EmployeeID,FirstName,LastName,Department,Salary,StartDate
1,E001,John,Smith,Engineering,85000,2020-01-15
2,E002,Jane,Doe,Marketing,72000,2019-06-20
3,E003,Michael,Johnson,Sales,75000,2021-02-10
4,E004,Sarah,Williams,Engineering,90000,2018-09-05
5,E005,Robert,Brown,Finance,80000,2020-11-12
6,E006,Emily,Davis,HR,65000,2021-03-30
7,E007,David,Miller,Sales,78000,2019-12-01
8,E008,Lisa,Anderson,Engineering,88000,2020-05-18
9,E009,James,Taylor,Marketing,70000,2021-07-22
10,E010,Patricia,Thomas,Finance,82000,2020-02-14
